id,タイトル,説明文,価格,収容人数,住所,評価,サムネイル写真のURL
39,047【シェアスペBrooklyn新宿】お洒落なブルックリン風✨飲み会/タコパ/女子会/映画鑑賞/スタジオ【海の日SALE】,"【スペース概要】
イベントルーム（17平米）・キッチン・バス・トイレ
【収容人数】
・着席最大：8名　最適：6名
・立席最大：8名　最小：6名

【設備・備品】
・机：４名掛けテーブル １台
・フロアクッション：４個
・ゴロゴロマットレス１台
・テレビ
・DVDプレイヤー（Blu-ray対応）
・プロジェクター
・たこ焼き器＆ホットプレート
・ホワイトボード
・トランプ
・オセロ
・UNO
・ジェンガ
・人生ゲーム
・黒ひげ危機一髪
・エアホッケー
・ニンテンドークラシックミニ
・プラネタリウム

【キッチン備品】 
・IHコンロ
・たこ焼き器＆ホットプレート
・フライパン
・両手鍋
・まな板
・包丁
・深ざる
・ボウル
・バット
・計量カップ
・計量スプーン

《食器類》
平皿6枚、お椀×6、グラス×6、ナイフ・フォーク・スプーン、箸×4、ワイングラス×8、シャンパングラス×8

【周辺情報】

コンビニ　徒歩１分
スーパー徒歩2分
ドン・キホーテ　徒歩5分
コインパーキング　徒歩4分
（周辺に多数あり）


〜ビジネス・会議スペース概要〜
【収容人数】
・着席人数： 8名
・シアター形式着席(机４台)：8名
・セミナー形式着席(机４台)：8名
・ロの字型着席：8名

【設備・備品】
・机：４名掛けテーブル １台
・カウンターテーブル
・ホワイトボード有り
・プロジェクター有り続きを読む","￥600～￥2,780/時間",〜8人,東京都新宿区歌舞伎町以降は予約確定後お伝えいたます。,4.06,https://cdnspacemarket.com/uploads/attachments/416773/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
40,031【シェアスペAntique新宿】アンティークカフェ✨ハンモック有/宅飲/映画鑑賞/スタジオ/撮影【海の日SALE】,"【スペース概要】
イベントルーム（20平米）・キッチン・バス・トイレ

【収容人数】
・着席最大：10名　最適：6名

【設備・備品】
・机：４名掛けテーブル １台
・3名掛けソファ：1台
・ソファベッド
・チェア：２個
・テレビ
・ニンテンドークラシックミニ
・DVDプレーヤー付プロジェクター
・黒ひげ危機一髪
・オセロ
・トランプ
・人生ゲーム

【キッチン備品】 
《加熱調理設備》
◯２口ガスコンロ
◯電子レンジ
◯ケトル
○卓上型IHコンロ
○たこ焼き機・ホットプレート
○チーズフォンドュ機

《調理器具》
◯フライパン
◯まな板
◯包丁
○パエリアパン

【周辺情報】

コンビニ　徒歩１分


〜ビジネス・会議スペース概要〜
【収容人数】
・着席人数：８名

【設備・備品】
・机：４名掛けテーブル １台続きを読む","￥500～￥2,780/時間",〜8人,東京都新宿区新宿以降は予約確定後にお伝えします,4.62,https://cdnspacemarket.com/uploads/attachments/400166/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
41,【新宿・1階・甲州街道沿い！】キッチン・音響設備付き貸切スペース！懇親会、説明会、オフサイトMTG、料理、撮影などに♪,"■オプション；キッチン備品一式（お皿など消耗品含む）
■オプション：プロジェクター・スクリーン
■オプション：音響機器（マイク4本、スピーカー1台、ミキサー1台）
■オプション：ケータリング（イメージ写真あり）
■モニター 65インチ（DMM.make）
■変換アダプター （Anker HDMI ー USB-C）
■変換アダプター （iVANKY HDMI ー サンダーボルト）
■ハイチェアー10脚（ヒールスタンド 座面高さ72cm）
■L字ハイソファー（座面高さ70cm）
■椅子12脚（MORRIS CHAIR 座面高さ47.5cm）
■椅子8脚（CROSS 2 CHAIR 座面高さ46cm）
■ハイテーブル2台（幅120×奥行120×高さ100cm）
■ハイテーブル2台（幅60×奥行60×高さ100cm）
■ローテーブル2台（幅150×奥行80×高さ70cm）
■バーカウンター（幅400cm）
■キッチンカウンター（幅250cm）
■3口IHクッキングヒーター（アイリスオーヤマ 200V）
■シンク
■冷蔵ショーケース（ホシザキ）
■ハンガーラック 2つ（journal standard Furniture）
■ワイヤーアンブレラスタンド 2つ（PUEBCO）
■ホワイトボード1台
■折戸ホワイトボード1台（幅500×高さ170cm）
■鍵付きガレージ風シャッター1台（幅220×高さ230cm）
■延長コード4本
■文房具（模造紙、付箋、マジックペン、カッター、ハサミ、タイマーなど）続きを読む","￥4,980～￥20,000/時間, ￥30,000/6時間～￥70,000/9時間, ￥22,000～￥89,800/日",〜45人,東京都新宿区西新宿3-4-4,4.57,https://cdnspacemarket.com/uploads/drawings/757/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
42,⭐BRICKS PARLOR 新宿三丁目⭐駅から1分✨OPEN㊗最大55%OFF✨ボードゲーム/キッチン/最大15名/自然光◎,"2019.6 BRUNO流しそうめん機を設置しました🍜
㊗OPEN記念✨オプション備品が期間限定ですべて無料です💰

◇リビングルーム
50型大型テレビ/アナログレコードプレイヤー/DVD/BDプレイヤー/PSPプレイステーション・ポータブル/ゆったり3名がけソファー/ダイニングテーブル＆スツール(8名がけ)ローテーブル/エアコン/姿見（ミラー）/ハンガー/ホワイトボード

◇キッチン
IHの1口コンロ/土鍋/冷凍庫付き冷蔵庫/電子レンジ（オーブン機能付き）/電気ケトル/ホットプレート＆たこ焼き器/BRUNO流しそうめん器/ティファール（フライパン・お鍋）/ボウル＆ザル3つ/カセットコンロ(カセットガスはご持参ください)/包丁2本/まな板3枚/キッチンはさみ/ピーラー/ワインオープナー/栓抜き&缶切り/計量カップ/フライ返し/おたま/トング/泡だて器

◇食器(各12名様分）
平皿（大・小）／お椀／グラス／ワイングラス／シャンパングラス／お箸／スプーン／フォーク／ナイフ／お子様用食器（コップ・取り皿・カトラリー）

◇ボードゲーム＆カードゲーム
トランプ／ジェンガ／黒ひげ危機一発／オセロ／ワンナイト人狼／カタン_スタンダード版／モノポリー クラシック／ラミィキューブ／パンデミック 新たなる試練／クク21／ブロックス／UNO／モノポリー／スコットランドヤード東京

◎燃えるゴミは無料で出せます
当マンションをでて右手のゴミ置き場は毎日燃えるゴミの回収があるため、燃えるゴミは出すことができます。他のゴミ（ビン・カン・ペットボトル）は有料にてお引取りさせていただきます。有料オプションをお申し込みください。

#ブルックリンスタイル#おしゃれ#カワイイ#男前＃アンティーク＃レンガ続きを読む","￥777～￥4,980/時間",〜15人,東京都新宿区新宿2-11-7＊以降の住所はご予約後にお知らせします＊,4.73,https://cdnspacemarket.com/uploads/drawings/1418/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
43,093【スペレンParty新宿・新宿三丁目】最大10名/キッチン付きゴロゴロスペース♬/DVD鑑賞会/ママ会/誕生日会/24H,"■調理家電
・冷蔵庫（冷凍庫付き）
・電子レンジ
・ケトル

■ 調理器具
・包丁
・調理用バサミ
・まな板 
・フライパン
・フライ返し
・おたま
・ピーラー
・トング 
・菜箸
・片手鍋
・土鍋 
・計量カップ
・計量スプーン
・ボール
・ザル

■ 皿
・大皿 × 9
・中皿 × 10
・小皿 × 10
・深皿×10
・マグカップ ×10 
・グラス × 10
・ワイングラス × 10 

■ カトラリー
・箸 × 10
・スプーン × 10
・フォーク × 10
・ナイフ × 10
・デザートスプーン × 10

■その他
・コルク抜き 
・栓抜き 
・たこ焼き器
・チーズフォンデュ
・カセットコンロ 
・たこ焼き用ピック× 2
・チーズフォンデュ用ピック× 5
・ミトン
・鍋敷き
・ワインクーラー
・食器用洗剤
・食器用スポンジ
・キッチンペーパー

■調味料
・塩
・砂糖
・醤油
・油

■アメニティ
☆ドライヤー＆アイロン追加しました☆
・ティッシュ
・トイレットペーパー
・ハンガー
・スリッパ×6
・トイレマット
・iphone用充電ケーブル×1
・android用充電用ケーブル×1
・充電用アダプター×1
・Mini ディスプレイ DisplayPort（MiniDP）to DVI/HDMI/VGA変換アダプタ×1
・HDMIケーブル
・ブランケット×4
・マッサージクッション
・首用マッサージクッション
・ホワイトボード

■エンタメグッズ
・DVD/Blueray レコーダー
・トランプ等ボードゲーム各種
・自撮り棒

■設備
・エレベーター 完備

■ ゴミ捨て不可
ゴミは必ずお持ち帰りください！続きを読む","￥900～￥3,000/時間",〜10人,東京都新宿区歌舞伎町2-1-3 ヤスオビル（詳細は予約確定後にお知らせします）,4.49,https://cdnspacemarket.com/uploads/attachments/442618/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
44,038【シェアスペBrown新宿】ゆったりスペース★鍋パ♪タコパ♪ゲーム♪映画鑑賞♪パーティ【海の日SALE】,"【スペース概要】
イベントルーム（22平米）・キッチン・バス・トイレ

【収容人数】
・着席最大：12名　最適：10名
・立席最大：12名　最小：10名

【設備・備品】
・机：４名掛けテーブル １台
・カウンターテーブル　１台
・フロアクッション：４個
・椅子：2台
・ゴロゴロマットレス２台
・テレビ
・DVD&Blu-rayプレイヤー
・プロジェクター
・任天堂クラシックミニ
・たこ焼き機
・IHコンロ
・お鍋セット
・ホットプレート
・黒ひげ危機一髪
・ブロックス
・オセロ
・ジェンガ
・UNO
・トランプ
・ストライクエアホッケー
・人生ゲーム

【キッチン備品】 
《加熱調理設備》
◯１口IHコンロ
◯電子レンジ
◯タコ焼き機
◯ホットプレート
◯電子ケトル



《調理器具》
◯フライパン
◯まな板
◯包丁
◯ボウル
◯片手鍋
◯鍋
○キッチンバサミ
○ピーラー
○計量カップ
○計量スプーン
○フライ返し

《食器類》
平皿8枚、お椀6個、コップ8個、グラス×４、ナイフ・フォーク・スプーン、箸
×6個、お箸10膳、アイスペール、トング、もんじゃ用ヘラ、アイスピック、マドラー、栓抜き

【周辺情報】

コンビニ　徒歩１分
スーパー徒歩2分
ドン・キホーテ　徒歩5分
コインパーキング　徒歩4分
（周辺に多数あり）


〜ビジネス・会議スペース概要〜
【収容人数】
・着席人数： 10名
・シアター形式着席(机４台)：10名
・セミナー形式着席(机４台)：10名
・ロの字型着席：10名

【設備・備品】
・机：４名掛けテーブル １台
・カウンターテーブル
・ホワイトボード有り
・プロジェクター有り続きを読む","￥600～￥2,380/時間",〜8人,東京都新宿区歌舞伎町以降は予約確定後お伝えいたます。,4.37,https://cdnspacemarket.com/uploads/attachments/374299/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
45,091【スペレンParty新宿三丁目】最大15名/レトロでカラフルな3部屋/55インチTV/キッチン/Wi-Fi/24H,"■ 収容人数
最大：15名
※ 最大人数を超えての利用はお断りしております。

リビングソファスペース：8～10名
ゴロゴロスペース：4～6名
小会議ルーム：4～6名

■ 室内設備
・テレビ
・エアコン
・ソファ
・テーブル
・プロジェクター
・ホワイトボード
・キッチン
・Wi-Fi
・シャワー

■ 調理家電
・冷蔵庫
・電子レンジ
・電気ケトル
・たこ焼き機
・チーズ＆チョコフォンデュメーカー
・カセットコンロ

■ 調理器具
・包丁 × 2
・まな板 ×2
・菜箸 × 1
・へら × 1
・フライ返し × 1
・おたま × 1
・ピーラー × 1
・トング × 1

■ 鍋類
・フライパン（中） × 1
・両手鍋（中） × 1
・土鍋（4～5人用） × 1

■ 皿
・平皿（中） × 15
・ボール皿（中） × 15

■ グラス
・マグカップ×12
・グラス × 10
・ワイングラス ×12

■ カトラリー
・箸 × 12
・スプーン × 12
・フォーク × 12
・ナイフ × 12
・デザートスプーン × 12
・たこ焼き用ピック × 4
・フォンデュ用ピック ×12

■エンタメグッズ
・DVD/Blueray レコーダー
・トランプ等ボードゲーム各種

■ マンション設備
・エレベーター 無し
・ゴミ捨て場 無し（ゴミは全てお持ち帰りください）

※ 当スペースは防犯を目的として防犯カメラを設置しておりますので予めご了承ください続きを読む","￥777～￥2,500/時間",〜15人,東京都新宿区新宿,3.84,https://cdnspacemarket.com/uploads/drawings/1554/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
46,133【スペレンParty東新宿】★直前割50％★ 最大15名/オシャレスペース🎵パーティ/プロジェクター有/ママ会,"■ 間取り
1R（約27㎡）

■ 収容人数
・最大：15名
・最適：2～10名
最大収容人数を超えてのご利用は禁止です。

■ 室内設備
・テレビ（地上波）
・ゴロゴロマットレス
・ソファー
・椅子
・ローテーブル
・キッチン
・Wi-Fi

■ 備品
・HDMIケーブル
・iPhone充電器
・Mac用HDMI接続コネクタ
・ブランケット×3

■食器
・グラス
・マグカップ
・ワイングラス
・平皿（大）
・平皿（中）
・お椀
・お箸
・フォーク
・スプーン
・ナイフ

■ 調理器具
・包丁
・調理用ハサミ
・まな板×2
・ピーラー
・フライパン大×2
・フライパン小
・片手鍋×2
・土鍋（5～6人用）
・ざる
・ボール
・計量カップ
・計量スプーン
・フライ返し
・お玉
・トング
・栓抜き&ワインオープナー
・ワインクーラー

■調理家電
・冷蔵庫
・電子レンジ
・湯沸かしケトル

■ 調味料
・砂糖
・塩
・醤油
・油

■ パーティグッズ
・カード、ボードゲーム各種

■レンタル品（有料）
・DVD/Blu-rayプレーヤー
・たこ焼き & ホットプレート
・チーズ & チョコフォンデュ
・カセットコンロ

■マンション設備
・エレベーター 無し
・ゴミ捨て場 無し

※ 当スペースは防犯を目的として防犯カメラを設置しております。予めご了承下さい。続きを読む","￥799～￥3,500/時間",〜15人,東京都新宿区大久保★詳しい住所は予約確定後にお知らせします,4.7,https://cdnspacemarket.com/uploads/attachments/443361/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
47,地域最安💡ドンキ隣♪/撮影会📷✨/プロジェクター/最大10名/癒しのプラネタリウム/キッチン有/新ゴロゴロ/終電後も利用可!,"■マンション設備
・エレベーター有
・ゴミステーション有
ゴミは可燃、不燃、ビン・カン・ペットボトルなど必ず分別してください！分別せずに捨てられた方には罰金をお支払いいただきます

■室内設備
・人をダメにするソファ×3
・クッション(大)×3
・マット×8（2枚重ねれば簡易マットレスになります。）
・2人掛けソファー
・ローテーブル
・TV
・DVD＆Blu-ray再生レコーダー
・プロジェクター(HDMIケーブル付属)
※ 変換コネクタはございません。
※ HDMIケーブル非対応のPCの場合は変換コネクタをご持参ください。

■エンタメグッズ
・トランプ等ボードゲーム各種
・プラネタリウム

■ キッチン
・冷蔵庫
・電子レンジ(温め機能のみ)
・電気ケトル
・チーズ&チョコフォンデュメーカー
・カセットコンロ(※カセットガスはお持ちください)
・食器用洗剤
・食器用スポンジ
・ふきん

■ 調理器具
・包丁
・まな板
・菜箸
・へら
・フライ返し
・おたま
・ピーラー
・トング

■ 鍋類
・両手鍋
・卓上鍋(26㎝)
・カセットコンロ

■ 皿
・平皿（中）
・平皿（小）
各10

■ カップ
・マグカップ 
・グラス 
・ワイングラス
各10

■ カトラリー
・箸 
・スプーン 
・フォーク 
・ナイフ
・デザートスプーン 
各10

その他
・たこ焼き用ピック × 4
・フォンデュ用ピック ×4
・栓抜き
・ワインクーラー
・デキャンタ
・アイス入れ

■ その他
・トルソー（9号/B85cm/W67cm/H91cm)
・三脚
・レフ版
・照明
・空気清浄機
・全身鏡
・ハンガーラック
・スリッパ10足

■ 掃除道具
・掃除機
・コロコロ
・ファブリーズ
・マイペット
・クイックルワイパー続きを読む","￥740～￥3,100/時間",〜10人,東京都新宿区大久保1-12-3 カーサ第二新宿（ご予約完了時に部屋番号はお知らせ致します）⚠　必ず部屋番号をご確認いただきご入室下さい。お部屋を間違えて、夜中に近隣の方のインターホンを押し間違えるトラブルが頻発しており多大なご迷惑をお掛けしております。お連れ様にもご周知下さい⚠,4.41,https://cdnspacemarket.com/uploads/attachments/355518/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
48,【飯田橋駅5分・直前割】18名α／白板・Wi-Fi・映写機無料／自然光・電源充分《レンタル会議室・打合せスペース Sabori》,"A．蛍光灯×6、ウォールランプ×3、充分な自然光あり。明るいお部屋です。
B．長机180×90cm×2／サイドテーブルΦ50×2
C．椅子×14
D．ソファ＆スツール、ソファ×2
E．Wi-Fi 光回線
F．エアコン×1
G．ホワイトボード90×120cm×1
H．プロジェクター{事前確認必須。詳細はAmazon ASIN：B07FTDM83S}Vamvo LED 3500lm 業務用 1080p 最大解像度L3600 iPhone/パソコン/スマホ/タブレット/ゲーム機/SDカード接続可（HDMI＆RCA＆VGAケーブル有※スマホ等のUSBは対応の物をご持参下さい）
I．電源タップ（10口×2、6口×2）
J．演台、キャスター付台×1
K．姿見180×70cm×1
L．棚付ハンガーラック、フック付棚、3段棚×1
M．タオルケット87×65cm×2、190×14cm×1
N．スリッパ×20
O．ハサミ・カッター・ホッチキス
P．掃除機・コロコロ、ハンディクリーナー
Q．窓2面（北東／南東）

【キッチン】 
A．冷水（温水なし）
B．冷蔵庫（冷蔵 91L・冷凍 46L）、電気ケトル、IH台（1400ｗ）、スチームオーブンレンジTOSHIBA ER-H10
C．包丁（短・出刃・パン切）、おたま、栓抜×各1、まな板×2
D．フライパン・中鍋、ボウル、ミトン×各1
E．耐熱皿（平皿・小皿・深皿）×各3、プラスチック（平皿・深皿）×18、スプーン・フォーク×各18以上、プラスチックコップ×12、ガラスコップ×9、プラスチックワイングラス×9、ガラスワイングラス×2
F．ゴミ袋 2枚100円（不足分ご利用下さい）
G．キッチンペーパー、洗剤、ハンドソープ
【トイレ】トイレットペーパー、消臭剤、洗剤
【ビル】4階建の3階（各階、共有部を挟み対面に2部屋）、階段のみ（EVなし）続きを読む","￥600～￥2,050/時間",〜18人,東京都新宿区新小川町4-21光風ビル３０１号室,4.66,https://cdnspacemarket.com/uploads/drawings/1568/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
49,062【スペレンParty四谷三丁目】駅から1分🍃初夏仕様🍃パリ風インテリアのパーティルーム/最大14名/女子会/キッチン,"■ 収容人数
・最大：14名
・最適：4～8名

■ 室内設備
・テレビ（地上波）
・ソファ
・ダイニングテーブル
・座りやすいイームズチェア
・Wi-Fi

■ キッチン
・冷蔵庫(自動製氷機なし)
・電子レンジ(温め機能のみ)
・包丁×３
・まな板
・フライパン（ふた付き）
・片手鍋（ふた付き）
・両手鍋（ふた付き）

・大皿
・皿台×2
・小皿（陶器）×11
・四角皿（陶器）×10
・サラダボウル（木製）
・ソーサ―×12
・カトラリー（ナイフ、フォーク、スプーン大、スプーン小、各12セット）

・マグカップ×10
・グラス×13
・ワイングラス×12
・シャンパングラス×12

・お盆
・コルク抜き
・栓抜き
・ティーポット
・ドリンクサーバー
・缶切り
・なべつかみ×2

・菜箸×2
・おたま
・トング
・フライ返し
・パスタサーバー
・ざる

・プラスティック　平皿、ボウル、カップ　各12
・プラスティック　ナイフ、フォーク、スプーン　各12

■ マンション設備
・エレベーター 完備
・ゴミステーション 無し(ゴミは必ずお持ち帰りください)
続きを読む","￥1,000～￥4,000/時間",〜14人,東京都新宿区四谷三丁目(住所や入室方法詳細は、予約完了後にメッセージにてご連絡します★),4.59,https://cdnspacemarket.com/uploads/attachments/329745/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
50,新宿三丁目駅★ 一日中自然光◎/150㎡屋上あり/ストロボ常設！商用実績多数、動画もOK.交通至便な格安スタジオ,"＜撮影用品＞
ブロワ―、レフ板、カラーフィルター、造花、ミラーボール（大・中）等

＜家具＞
ハイテーブル2点（150×90、100×60）、ローテーブル（100×60）
木製スツール2点、プラスチックスツール2点、ハイスツール1点、椅子4点、スタッキングチェア5点　等

＜備品＞
アイロン、アイロン台、空気入れ

＜会議用品＞
ホワイトボード

＜駐車場＞
正面、隣など半径25ｍ以内に30台分以上コインパーキングあり

※スタジオご利用の際は必ずスリッパにお履き替えください。
※バック紙で使用する靴は、必ず靴底の養生をしてください。靴跡が残った場合は、予約者様責任での買取になります。（3240円／１ｍ）
※ストロボはシンクロコードでの接続になります。ホットシューアダプターが必要な方は、ご自身でお持ち込みください。
※スタジオスタッフはペット入室時を除き常駐しておりませんが、軽作業や安全管理のためスタッフエリアにいる場合もございますので、ご了承ください。
※スタジオ利用の際は、本ページご注意事項及び「添付ファイル」欄のPDFファイルを必ず事前にご確認の上不明点はご利用前にお問合せください。ご確認いただけていない場合のトラブルへの責任は負いかねます。
※スタジオは４Fですが、エレベーターがありません。大きな機材を持ち込まれる場合はご注意ください。
※１Fビル玄関は、平日夜８時以降と土日祝はオートロックになっています。電子鍵がない場合、内側からしか開けることができません。一時外出の際はスタッフ、参加者間で情報共有をお願いします。
※スタジオ内本棚には義務教育年齢のお子様にはふさわしくない書籍もございます。ご利用の際はご注意ください。
※ベランダ部分は周辺環境配慮のため、4人以上で使用しないでください。また、人工芝生以外は隣室スペースのため立ち入りをご遠慮ください。続きを読む","￥2,800～￥5,500/時間, ￥35,000～￥43,000/日",〜10人,東京都新宿区新宿６－８－５　新宿山崎ビル４０２,4.57,https://cdnspacemarket.com/uploads/drawings/274/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
51,072【シェアスペStar渋谷】キッズスペース★ママ会★女子会★映画鑑賞★鍋パ★宅飲【海の日SALE】,"【スペース概要】
イベントルーム（27平米）・キッチン・トイレ

【収容人数】
・着席最大：14名　最適：12名　お子様４名
・立席最大：18名　最小：12名　お子様４名

【設備・備品】
・机：４名掛けテーブル：２台
・フロアクッション：６台
・ソファ：１台
・ゴロゴロマットレス：１台
・DVDプレイヤー(Blu-ray対応)
・プロジェクター
・プロジェクタースクリーン
・たこ焼き器＆ホットプレート
・ホワイトボード
・トランプ
・オセロ
・UNO
・ジェンガ
・人生ゲーム
・黒ひげ危機一髪
・エアホッケー
・ニンテンドークラシックミニ
・子供用おもちゃ

【キッチン備品】 
・冷蔵庫
・電子レンジ,
・ケトル
・IHコンロ
・トースター
・オーブンレンジ
・土鍋&IHコンロ

《調理器具》
・フライパン
・片手鍋
・両手鍋
・まな板
・包丁
・深ざる
・ボウル
・バット
・計量カップ
・計量スプーン

《食器類》
中皿×18枚、お椀×18個、ワイングラス×16、シャンパングラス×20、コップ×18、ナイフ・フォーク・スプーン×18個、お箸×10膳

【周辺情報】
物件の目の前にコンビニあり

〜ビジネス・会議スペース概要〜

【設備・備品】
・机：４名掛けテーブル ２台
・ホワイトボード有り
・プロジェクター有り続きを読む","￥980～￥2,780/時間",〜16人,東京都新宿区高田馬場以降の住所は予約確定後お伝え致します。,4.59,https://cdnspacemarket.com/uploads/drawings/867/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
52,078【シェアスペRed新宿】駅近✨好立地♪タコパ/飲み会/女子会/ママ会/映画鑑賞【海の日SALE】,"【スペース概要】
イベントルーム（20平米）・キッチン・トイレ・バス

【収容人数】
・着席最大：16名　最適：10名

【設備・備品】
・机：４名掛けテーブル ４台
・ゴロゴロマットレス １台
・椅子 ２台
・ソファ　１台
・フロアクッション ８個
・テレビ
・DVDプレイヤー(Blu-ray対応)
・プロジェクター
・たこ焼き器＆ホットプレート
・ホワイトボード
・トランプ
・オセロ
・UNO
・ジェンガ
・人生ゲーム
・黒ひげ危機一髪
・エアホッケー
・ニンテンドークラシックミニ

【キッチン設備】
・冷蔵庫
・電子レンジ
・ケトル
・IHコンロ
・トースター
・土鍋＆IHコンロ

《調理器具》
・フライパン
・片手鍋
・まな板
・包丁
・深ざる
・ボウル
・計量カップ
・計量スプーン

《食器類》
中皿×１８、お椀×１８、グラス×１８、ワイングラス×１２、シャンパングラス×１０、ナイフ・フォーク・スプーン×１８、箸×１0

【周辺情報】

コンビニ　徒歩３分
飲食店　周辺に多数あり
ドン・キホーテ　徒歩４分
続きを読む","￥777～￥2,580/時間",〜16人,東京都新宿区百人町 以降の住所はご予約確定後お伝え致します。,4.43,https://cdnspacemarket.com/uploads/attachments/417115/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
53,104【新宿】✨駅近の広々スペース✨パーティ/個室デート/スタジオ/宅飲【OPENセール】,"【スペース概要】
イベントルーム（27.33平米）トイレ・ユニットバス・キッチン

【収容人数】
・着席最大：14名　最適：10名

【設備・備品】
・机：4名掛けテーブル 3台
・ソファベッド：3台
・フロアクッション6個
・テレビ
・DVDプレイヤー(Blu-ray対応)
・プロジェクター
・たこ焼き器＆ホットプレート
・ホワイトボード
・トランプ
・オセロ
・UNO
・ジェンガ
・人生ゲーム
・黒ひげ危機一髪
・エアホッケー
・ニンテンドークラシックミニ

【家電設備】
・冷蔵庫
・炊飯器
・電子レンジ
・ケトル
・IHコンロ
・トースター
・鍋＆IHコンロ

【調理器具】
・フライパン
・片手鍋
・両手鍋
・まな板
・泡立て器
・包丁
・深ざる
・ボウル
・バット
・計量カップ
・計量スプーン

【周辺情報】
・コンビニ徒歩１分
・飲食店・薬局徒歩２分
・コインパーキング徒歩５分

〜ビジネス・会議スペース概要〜
【収容人数】
・着席人数： 10名   最適：7名

【設備・備品】
・机：4名掛けテーブル ３台
・ホワイトボード有り
・プロジェクター有り続きを読む","￥980～￥2,780/時間",〜14人,東京都新宿区新宿1丁目以降は予約確定時にお伝えします,3.85,https://cdnspacemarket.com/uploads/attachments/437497/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
54,135【スペレンParty東新宿】大人隠れ家★ゴロゴロ/24H/撮影/写真映え/最大8名/家デート/ゴミ捨てOK,"■間取り
1DK（約25 ㎡）

■収容人数
最大：8名、最適：2～6名
最大収容人数を超えてのご利用はお断りしております。

■室内設備
エアコン、テレビ(地上波)、キッチン、Wi-Fi、2Pソファー、クッション、ローテーブル、バーテーブル、カウンターチェア(2脚)

■食器
サラダボウル、盛り付け皿、スクエア皿 各２枚
深皿、平皿、スープ皿、小皿 各8枚
グラス、ワイングラス、マグカップ 各8個
箸、フォーク、スプーン、ティースプーン 各8名分

■調理器具
包丁、ぺティーナイフ、調理用ハサミ、まな板、ピーラー、ボウル＆ザル、計量カップ&スプーン、フライパン、片手鍋、両手鍋、卓上鍋(～５人用)
フライ返し、お玉、トング、泡だて器、菜箸、ワインオープナー、ワインクーラー、鍋敷き、鍋つかみ

■調理家電
IHコンロ、冷蔵庫、電気ケトル、電子レンジ(温め機能のみ)
※調味料の用意はございません。

■キッチン用品
ハンドソープ、サランラップ、キッチンペーパー、スポンジ、食器用洗剤、生ごみネット、激落ちくん、キッチンハイター、マジックリン

■ パーティグッズ
トランプ、UNO、ジェンガ、人生ゲーム、自動り棒

■オプション(有料)
DVD/Blu-rayプレーヤー、3wayホットプレート、カセットコンロ(カセットガスはご持参下さい)

■備品
HDMIケーブル、iPhone＆android充電器、Mac用HDMI接続コネクタ、延長コード、空気清浄機、ホワイトボード、箱ティッシュ

■掃除道具
掃除機、クイックルワイパー&ハンディー、コロコロ、ファブリーズ、マイペット、ゴミ袋

■マンション設備
エレベーター 有り
ゴミステーション 有り
★必ず分別して指定の場所へ捨てて下さい。
分別：可燃ゴミ、ビン・カン・ペットボトル、段ボール(粗大ゴミは捨てられません)続きを読む","￥700～￥3,500/時間",〜8人,東京都新宿区歌舞伎町2-2-21ライオンズマンション（部屋番号は予約確定後にお送りいたします）,4.67,https://cdnspacemarket.com/uploads/attachments/432334/image.jpg?fit=crop&width=1200&height=800&bg-color=9c9c9c
